代码,名称,行业,日期,放量倍数,涨幅%,收盘价,成交额(亿),市盈率,市净率
600130,*ST波导,C39计算机、通信和其他电子设备制造业,2025-08-27,3.07,0.0,3.85,3.03,929.6,2.99
600200,*ST苏吴,C27医药制造业,2025-08-27,5.96,5.41,1.17,1.71,-169.97,0.47
600526,菲达环保,C35专用设备制造业,2025-08-27,3.09,5.24,5.62,5.02,19.9,1.14
600728,佳都科技,I65软件和信息技术服务业,2025-08-27,4.06,3.86,8.07,46.69,81.03,2.21
600810,神马股份,C28化学纤维制造业,2025-08-27,4.3,4.81,10.03,6.09,-320.57,1.48
601033,永兴股份,N77生态保护和环境治理业,2025-08-27,4.1,4.34,16.35,4.01,17.11,1.41
601686,友发集团,C33金属制品业,2025-08-27,4.08,3.25,6.35,2.62,15.19,1.42
603037,凯众股份,C36汽车制造业,2025-08-27,4.12,4.03,13.42,4.15,39.58,3.67
603205,健尔康,C35专用设备制造业,2025-08-27,3.06,1.28,30.93,2.35,38.89,3.33
603230,内蒙新华,R86新闻和出版业,2025-08-27,4.51,5.1,14.64,2.71,14.2,1.78
603817,海峡环保,D46水的生产和供应业,2025-08-27,4.52,2.3,6.22,2.1,18.0,1.13
603838,*ST四通,C30非金属矿物制品业,2025-08-27,3.81,1.66,6.74,0.61,-70.52,2.26
603871,嘉友国际,G58多式联运和运输代理业,2025-08-27,3.19,4.39,11.88,6.38,15.08,2.82
603886,元祖股份,C14食品制造业,2025-08-27,3.1,1.66,13.47,2.24,14.9,2.26
603888,新华网,I64互联网和相关服务,2025-08-27,4.16,2.98,21.09,12.08,58.02,4.02
605199,ST葫芦娃,C27医药制造业,2025-08-27,3.07,0.32,9.44,1.8,-13.61,5.21
688663,新风光,C38电气机械和器材制造业,2025-08-27,3.37,3.64,35.0,3.84,31.62,3.7
000590,启迪药业,C27医药制造业,2025-08-27,3.45,3.47,12.81,4.68,-25.72,5.28
000609,ST中迪,S91综合,2025-08-27,3.18,2.38,4.31,1.23,-4.96,22.41
000757,浩物股份,F52零售业,2025-08-27,3.72,4.3,5.34,2.48,997.87,1.83
001216,华瓷股份,C30非金属矿物制品业,2025-08-27,4.29,5.56,15.76,4.21,17.54,2.28
002061,浙江交科,E48土木工程建筑业,2025-08-27,3.19,0.48,4.17,4.4,8.28,0.71
002157,正邦科技,A03畜牧业,2025-08-27,3.37,1.67,3.04,13.63,64.52,2.4
002210,飞马国际,L72商务服务业,2025-08-27,3.16,4.18,3.24,13.52,-3818.65,17.11
002555,三七互娱,I64互联网和相关服务,2025-08-27,3.05,1.03,19.66,57.41,15.49,3.35
002681,奋达科技,C39计算机、通信和其他电子设备制造业,2025-08-27,3.07,1.14,7.99,41.13,511.58,5.99
002690,美亚光电,C35专用设备制造业,2025-08-27,4.74,1.53,19.9,7.74,25.82,7.0
002832,比音勒芬,C18纺织服装、服饰业,2025-08-27,3.05,1.93,16.92,5.95,13.49,1.86
002835,同为股份,C39计算机、通信和其他电子设备制造业,2025-08-27,3.92,1.51,19.52,3.95,22.0,3.58
003043,华亚智能,C33金属制品业,2025-08-27,3.19,4.98,48.68,4.87,115.8,3.83
300143,盈康生命,Q84卫生,2025-08-27,3.4,1.71,10.73,3.48,65.67,3.22
300150,世纪瑞尔,I65软件和信息技术服务业,2025-08-27,4.4,3.27,5.68,4.37,56.67,2.11
300244,迪安诊断,Q84卫生,2025-08-27,3.37,5.81,17.49,14.67,-26.1,1.7
300540,蜀道装备,C34通用设备制造业,2025-08-27,5.69,5.94,18.91,5.63,52.71,3.97
300882,万胜智能,C40仪器仪表制造业,2025-08-27,3.65,5.46,19.51,6.88,42.93,4.49
300955,嘉亨家化,C26化学原料和化学制品制造业,2025-08-27,3.95,2.08,25.03,4.98,-50.08,2.88
300971,博亚精工,C34通用设备制造业,2025-08-27,4.71,0.23,26.5,9.72,51.4,3.03
300975,商络电子,F51批发业,2025-08-27,3.88,1.17,13.02,14.33,75.17,4.01
301047,义翘神州,M73研究和试验发展,2025-08-27,4.34,2.84,75.8,5.18,77.69,1.61
301083,百胜智能,C35专用设备制造业,2025-08-27,3.4,0.29,17.24,2.18,94.75,3.73
301138,华研精机,C35专用设备制造业,2025-08-27,3.38,1.35,38.34,3.15,44.12,4.04
