代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
002184,海得控制,C38电气机械和器材制造业,2025-08-04,5.15,4.26,13.94,5.48,True,2,17,1.0,-22.63,4.32
002201,九鼎新材,C30非金属矿物制品业,2025-08-11,3.63,5.31,8.13,3.97,True,2,12,0.49,142.83,4.76
002202,金风科技,C34通用设备制造业,2025-08-08,3.78,4.1,10.01,11.53,True,2,13,15.07,20.46,1.16
002217,合力泰,C39计算机、通信和其他电子设备制造业,2025-08-15,3.14,5.71,2.59,5.73,True,2,8,50.58,10.15,10.41
002219,新里程,Q84卫生,2025-08-15,3.34,6.07,2.27,5.83,True,3,8,-1.32,68.58,3.81
002231,*ST奥维,C39计算机、通信和其他电子设备制造业,2025-08-14,3.75,5.0,3.99,2.4,True,2,9,8.77,-28.58,5.26
002235,安妮股份,C22造纸和纸制品业,2025-08-14,3.06,4.64,8.8,16.03,True,2,9,-7.84,194.98,6.81
002256,兆新股份,D44电力、热力生产和供应业,2025-08-18,3.66,4.33,2.41,2.56,True,2,7,10.37,-33.58,4.3
002272,川润股份,C34通用设备制造业,2025-08-20,3.22,6.38,19.17,45.6,True,3,5,0.31,-112.44,6.24
002298,中电鑫龙,C38电气机械和器材制造业,2025-08-14,3.02,3.08,9.71,31.41,True,2,9,24.1,-4.67,3.48
002304,洋河股份,C15酒、饮料和精制茶制造业,2025-08-19,4.58,5.36,73.58,20.41,True,4,6,-1.44,36.11,2.27
002310,东方园林,N77生态保护和环境治理业,2025-08-21,3.28,3.79,2.19,4.03,True,2,4,6.39,-3.96,8.57
002315,焦点科技,I64互联网和相关服务,2025-07-31,3.16,5.1,53.62,10.05,True,2,19,-3.19,34.97,7.0
002331,皖通科技,I65软件和信息技术服务业,2025-08-07,4.33,3.82,9.25,8.05,True,2,14,-8.54,131.79,2.31
002353,杰瑞股份,C35专用设备制造业,2025-08-08,4.06,2.42,45.37,11.64,True,2,13,4.01,16.71,2.13
002363,隆基机械,C36汽车制造业,2025-08-11,4.32,4.0,8.59,4.49,True,2,12,-5.12,70.03,1.68
002364,中恒电气,C38电气机械和器材制造业,2025-08-12,3.11,3.77,18.99,21.98,True,3,11,42.34,90.0,4.37
002369,卓翼科技,C39计算机、通信和其他电子设备制造业,2025-08-05,4.73,4.07,9.2,7.4,True,5,16,27.17,-25.58,12.02
002376,新北洋,C39计算机、通信和其他电子设备制造业,2025-08-19,3.78,4.35,8.4,10.43,True,2,6,-3.21,95.1,1.75
002380,科远智慧,I65软件和信息技术服务业,2025-07-30,4.32,3.55,25.4,4.57,True,2,20,17.8,22.58,2.66
002394,联发股份,C17纺织业,2025-08-20,3.16,4.37,10.98,4.34,True,3,5,-5.37,13.99,0.85
002418,康盛股份,C34通用设备制造业,2025-08-05,3.17,5.23,3.82,7.46,True,3,16,20.42,-49.27,3.03
002448,中原内配,C36汽车制造业,2025-08-05,3.36,4.42,9.21,4.27,True,2,16,6.84,23.98,1.51
002462,嘉事堂,F51批发业,2025-07-30,4.61,4.19,14.67,3.46,True,4,20,-3.41,32.6,0.98
002467,二六三,I64互联网和相关服务,2025-08-18,3.07,4.14,6.29,9.43,True,3,7,-0.48,151.04,4.53
002476,宝莫股份,C26化学原料和化学制品制造业,2025-08-19,3.7,4.46,5.15,3.02,True,2,6,4.08,49.79,3.35
002486,嘉麟杰,C18纺织服装、服饰业,2025-08-05,3.29,4.04,2.83,1.48,True,2,16,-3.89,66.27,2.22
002501,利源股份,C32有色金属冶炼和压延加工业,2025-08-13,3.91,3.12,2.31,9.1,True,4,10,-1.3,-11.69,25.08
002514,宝馨科技,C33金属制品业,2025-08-14,3.99,3.56,6.4,7.23,True,2,9,-6.41,-6.12,29.93
002521,齐峰新材,C22造纸和纸制品业,2025-08-21,3.4,4.63,9.49,2.06,True,2,4,-2.32,67.25,1.32
002531,天顺风能,C38电气机械和器材制造业,2025-08-15,3.59,5.21,6.87,4.77,True,2,8,0.0,134.61,1.38
002536,飞龙股份,C36汽车制造业,2025-08-07,4.03,3.27,20.23,27.46,True,2,14,36.09,32.64,3.44
002540,亚太科技,C32有色金属冶炼和压延加工业,2025-08-22,5.12,6.69,6.7,5.66,True,2,3,-1.34,19.25,1.5
002544,普天科技,I65软件和信息技术服务业,2025-08-22,4.22,6.8,25.13,15.21,True,2,3,2.11,-802.28,4.61
002562,兄弟科技,C27医药制造业,2025-08-05,3.35,6.05,5.96,8.7,True,2,16,9.73,72.93,2.03
002576,通达动力,C38电气机械和器材制造业,2025-08-15,5.33,6.6,18.74,5.72,True,2,8,-1.71,40.21,2.41
002582,好想你,C13农副食品加工业,2025-08-12,3.22,2.16,9.95,2.91,True,5,11,8.04,-99.56,1.24
002586,*ST围海,E48土木工程建筑业,2025-08-11,3.09,3.59,3.17,0.37,True,2,12,11.36,-42.62,1.23
002590,万安科技,C36汽车制造业,2025-08-13,3.16,2.84,14.5,4.88,True,4,10,2.76,34.07,2.57
002607,中公教育,P83教育,2025-08-18,3.67,3.81,3.0,14.76,True,2,7,2.33,131.33,24.21
002622,皓宸医疗,Q84卫生,2025-08-08,5.24,3.63,3.14,3.69,True,2,13,20.38,-58.18,6.9
002632,道明光学,C26化学原料和化学制品制造业,2025-08-19,4.49,6.11,10.07,5.47,True,5,6,-1.89,33.03,2.92
002651,利君股份,C35专用设备制造业,2025-08-05,3.31,3.63,13.41,20.79,True,2,16,4.03,125.93,4.9
002654,万润科技,L72商务服务业,2025-08-11,5.04,5.52,12.23,10.79,True,5,12,4.82,209.83,6.73
002658,雪迪龙,C40仪器仪表制造业,2025-08-18,3.49,3.24,8.28,3.32,True,3,7,0.24,28.45,2.03
002674,兴业科技,C19皮革、毛皮、羽毛及其制品和制鞋业,2025-08-07,3.23,2.49,10.71,1.59,True,2,14,24.74,25.13,1.3
002685,华东重机,C34通用设备制造业,2025-08-25,3.83,3.02,8.88,23.81,True,2,2,5.63,65.54,5.72
002708,光洋股份,C36汽车制造业,2025-08-19,4.11,2.73,12.8,10.37,True,2,6,-1.88,136.78,4.36
002709,天赐材料,C39计算机、通信和其他电子设备制造业,2025-08-11,3.11,6.16,20.15,15.17,True,4,12,0.84,74.3,2.98
002714,牧原股份,A03畜牧业,2025-08-21,3.12,5.71,50.21,57.64,True,2,4,8.54,9.94,3.54
002721,金一文化,C24文教、工美、体育和娱乐用品制造业,2025-08-12,3.45,4.83,3.91,10.62,True,2,11,0.51,-1150.89,5.03
002725,跃岭股份,C36汽车制造业,2025-08-19,3.07,4.29,14.58,4.51,True,2,6,0.82,71.88,3.66
002730,电光科技,C35专用设备制造业,2025-08-13,3.85,5.54,18.49,8.0,True,3,10,-4.27,72.2,4.11
002731,萃华珠宝,C24文教、工美、体育和娱乐用品制造业,2025-08-07,3.01,3.66,13.79,3.02,True,2,14,-5.81,14.66,1.98
002733,雄韬股份,C38电气机械和器材制造业,2025-08-07,4.86,6.82,18.63,13.98,True,2,14,17.23,71.58,2.63
002747,埃斯顿,C34通用设备制造业,2025-08-05,3.58,7.0,23.24,17.03,True,2,16,3.4,-25.05,11.0
002759,天际股份,C26化学原料和化学制品制造业,2025-08-11,5.11,5.43,9.71,4.55,True,5,12,1.54,-3.78,1.54
002783,凯龙股份,C26化学原料和化学制品制造业,2025-08-08,3.36,3.61,10.34,4.79,True,2,13,-2.51,32.81,2.01
002793,罗欣药业,C27医药制造业,2025-07-30,3.59,2.68,6.13,9.43,True,2,20,-9.14,-7.22,4.78
002803,吉宏股份,F52零售业,2025-08-21,4.06,3.54,17.57,7.03,True,2,4,3.64,34.93,3.01
002811,郑中设计,M74专业技术服务业,2025-08-04,5.61,5.32,12.28,8.65,True,3,17,-4.72,47.92,2.96
002824,和胜股份,C36汽车制造业,2025-08-07,4.05,5.33,18.37,7.21,True,2,14,9.53,67.98,2.99
002833,弘亚数控,C35专用设备制造业,2025-08-12,3.73,6.65,17.8,3.72,True,2,11,-2.25,14.86,2.66
002837,英维克,C35专用设备制造业,2025-08-01,3.4,2.04,41.03,61.75,True,3,18,75.12,90.6,13.37
002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,2025-08-15,3.18,5.13,19.68,4.76,True,2,8,2.54,436.82,7.12
002881,美格智能,C39计算机、通信和其他电子设备制造业,2025-08-05,3.05,6.3,49.3,14.9,True,2,16,14.38,73.58,7.98
002884,凌霄泵业,C34通用设备制造业,2025-08-12,3.97,2.68,17.22,2.09,True,2,11,-1.22,13.62,2.54
002886,沃特股份,C29橡胶和塑料制品业,2025-08-05,3.58,4.22,19.99,4.89,True,2,16,5.6,141.19,2.95
002909,集泰股份,C26化学原料和化学制品制造业,2025-08-06,4.36,2.86,6.47,2.35,True,3,15,18.39,106.06,2.68
002926,华西证券,J67资本市场服务,2025-08-13,3.3,3.91,10.37,10.5,True,2,10,0.1,30.16,1.14
002927,泰永长征,C38电气机械和器材制造业,2025-08-12,5.84,4.38,16.92,6.06,True,4,11,-7.33,105.74,3.68
002930,宏川智慧,G59装卸搬运和仓储业,2025-08-04,3.19,5.89,11.87,2.91,True,5,17,2.27,45.54,2.18
002937,兴瑞科技,C39计算机、通信和其他电子设备制造业,2025-08-05,3.56,4.54,17.73,2.74,True,2,16,5.41,26.92,3.37
002945,华林证券,J67资本市场服务,2025-08-18,3.32,6.09,16.91,14.43,True,2,7,-1.01,113.76,6.55
002947,恒铭达,C39计算机、通信和其他电子设备制造业,2025-08-07,4.63,4.91,35.9,9.62,True,2,14,23.43,18.59,2.81
002972,科安达,C39计算机、通信和其他电子设备制造业,2025-08-11,3.53,3.52,13.84,3.35,True,2,12,-6.0,36.37,2.72
002973,侨银股份,N78公共设施管理业,2025-08-06,4.68,5.63,14.44,2.97,True,2,15,-4.22,22.64,2.38
002980,华盛昌,C40仪器仪表制造业,2025-08-05,3.36,3.02,24.59,4.98,True,4,16,0.61,33.19,4.12
002982,湘佳股份,A03畜牧业,2025-08-11,3.02,2.59,16.61,2.73,True,2,12,-4.88,22.2,2.09
002996,顺博合金,C42废弃资源综合利用业,2025-08-07,3.86,2.2,7.88,3.64,True,4,14,-4.57,33.44,1.68
003022,联泓新科,C26化学原料和化学制品制造业,2025-08-18,3.64,5.68,19.53,13.27,True,2,7,1.23,102.55,3.57
003026,中晶科技,C39计算机、通信和其他电子设备制造业,2025-08-07,3.3,3.74,36.31,3.18,True,3,14,0.17,164.49,7.23
003027,同兴科技,N77生态保护和环境治理业,2025-08-18,3.79,2.04,20.0,3.2,True,2,7,-2.45,36.42,1.54
300014,亿纬锂能,C38电气机械和器材制造业,2025-08-11,3.07,6.18,46.59,32.24,True,4,12,14.29,23.18,2.48
300027,华谊兄弟,R87广播、电视、电影和录音制作业,2025-08-18,3.1,5.95,2.85,7.74,True,2,7,-1.4,-32.11,20.52
300035,中科电气,C39计算机、通信和其他电子设备制造业,2025-08-11,3.11,6.28,17.59,12.83,True,2,12,3.35,29.14,2.51
300046,台基股份,C39计算机、通信和其他电子设备制造业,2025-08-07,3.03,5.13,45.3,29.09,True,4,14,0.79,173.86,9.54
300047,天源迪科,I65软件和信息技术服务业,2025-08-11,3.72,5.7,17.24,23.95,True,2,12,7.31,402.39,3.35
300053,航宇微,C39计算机、通信和其他电子设备制造业,2025-08-20,3.01,5.22,14.91,14.09,True,2,5,-2.35,-34.62,5.85
300058,蓝色光标,L72商务服务业,2025-07-31,3.45,4.2,6.95,34.42,True,2,19,3.31,-88.6,3.19
300068,南都电源,C38电气机械和器材制造业,2025-08-05,3.9,6.55,15.79,15.83,True,2,16,3.86,-7.68,3.75
300069,金利华电,C38电气机械和器材制造业,2025-07-30,3.28,5.09,21.49,2.72,True,4,20,-3.35,70.92,9.17
300072,海新能科,C26化学原料和化学制品制造业,2025-08-21,3.0,4.18,3.74,3.75,True,2,4,-2.94,-9.91,1.48
300078,思创医惠,C39计算机、通信和其他电子设备制造业,2025-07-30,3.0,2.53,4.05,4.16,True,2,20,-9.14,-9.99,8.16
300088,长信科技,C39计算机、通信和其他电子设备制造业,2025-08-21,3.12,3.03,6.8,14.25,True,3,4,-0.59,43.89,1.96
300091,金通灵,C34通用设备制造业,2025-08-08,3.26,2.83,2.91,2.15,True,3,13,-2.06,-3.18,7.12
300097,ST智云,C35专用设备制造业,2025-08-07,3.14,2.9,5.32,0.5,True,3,14,7.52,-9.33,3.31
300103,达刚控股,C42废弃资源综合利用业,2025-08-07,5.08,5.96,7.29,3.68,True,2,14,3.7,-19.91,4.57
300118,东方日升,C38电气机械和器材制造业,2025-08-15,3.23,5.67,10.63,10.26,True,2,8,-1.13,-3.54,1.08
300123,亚光科技,C39计算机、通信和其他电子设备制造业,2025-07-30,3.34,2.5,6.57,6.07,True,4,20,1.98,-7.19,4.35
300128,锦富技术,C39计算机、通信和其他电子设备制造业,2025-08-13,3.63,4.49,5.58,5.46,True,2,10,-1.79,-28.05,9.84
300132,青松股份,C26化学原料和化学制品制造业,2025-08-13,3.52,2.11,6.28,3.36,True,4,10,-0.16,51.83,2.5
300135,宝利国际,C25石油、煤炭及其他燃料加工业,2025-08-07,3.18,3.87,4.56,5.47,True,3,14,-6.58,198.91,4.34
300137,ST先河,C40仪器仪表制造业,2025-08-06,3.12,6.98,6.74,1.73,True,2,15,4.3,-24.23,2.21
300145,南方泵业,C34通用设备制造业,2025-08-07,3.33,6.55,4.39,15.58,True,2,14,14.12,43.09,3.12
300182,捷成股份,R87广播、电视、电影和录音制作业,2025-08-01,3.09,6.45,6.11,20.35,True,3,18,5.56,64.54,1.95
300185,通裕重工,C33金属制品业,2025-08-01,3.21,6.47,2.96,7.82,True,2,18,2.03,165.38,1.73
300237,美晨科技,C36汽车制造业,2025-08-12,3.24,2.86,2.16,4.06,True,2,11,23.15,-5.94,57.99
300241,瑞丰光电,C39计算机、通信和其他电子设备制造业,2025-08-21,5.04,5.48,6.54,7.69,True,3,4,-4.28,87.12,2.07
300249,依米康,I65软件和信息技术服务业,2025-07-31,3.79,6.59,15.52,15.4,True,2,19,15.01,-80.13,21.19
300259,新天科技,C40仪器仪表制造业,2025-08-22,4.0,2.32,3.97,2.21,True,2,3,-2.77,21.75,1.58
300264,佳创视讯,I65软件和信息技术服务业,2025-07-30,3.55,3.05,6.42,3.05,True,2,20,-2.02,-63.04,95.21
300268,*ST佳沃,C13农副食品加工业,2025-08-15,3.01,5.17,10.99,0.39,True,2,8,-0.09,-1.88,-1.04
300278,华昌达,C35专用设备制造业,2025-08-04,3.03,5.2,5.66,4.19,True,2,17,5.48,158.22,4.47
300279,和晶科技,C39计算机、通信和其他电子设备制造业,2025-08-06,4.09,5.73,8.12,7.81,True,3,15,-1.35,48.23,3.94
300281,金明精机,C35专用设备制造业,2025-08-15,3.17,6.74,8.23,4.4,True,2,8,-1.09,436.54,2.73
300290,荣科科技,I65软件和信息技术服务业,2025-07-30,3.32,4.57,18.75,10.04,True,2,20,27.63,-814.53,15.08
300315,掌趣科技,I64互联网和相关服务,2025-08-06,3.61,6.73,5.87,22.92,True,2,15,2.56,191.53,3.25
300319,麦捷科技,C39计算机、通信和其他电子设备制造业,2025-08-01,3.1,4.63,11.98,10.68,True,4,18,8.6,31.56,2.27
300323,华灿光电,C39计算机、通信和其他电子设备制造业,2025-08-19,3.37,5.83,8.71,10.0,True,2,6,7.46,-23.51,2.06
300333,兆日科技,I65软件和信息技术服务业,2025-08-07,4.75,5.63,15.0,7.47,True,3,14,-0.4,-113.18,8.61
300343,ST联创,C26化学原料和化学制品制造业,2025-08-14,3.1,2.17,5.19,1.55,True,2,9,5.2,130.75,2.83
300345,华民股份,C38电气机械和器材制造业,2025-08-20,5.46,6.93,8.79,11.36,True,2,5,-4.21,-17.92,9.0
300346,南大光电,C39计算机、通信和其他电子设备制造业,2025-08-13,3.37,5.83,34.69,28.1,True,2,10,1.99,84.3,7.02
300351,永贵电器,C39计算机、通信和其他电子设备制造业,2025-08-08,3.37,3.82,17.12,4.62,True,2,13,5.96,60.95,2.69
300352,北信源,I65软件和信息技术服务业,2025-08-14,4.54,4.96,5.93,12.24,True,2,9,19.22,-42.87,6.39
300354,东华测试,C40仪器仪表制造业,2025-08-15,4.39,5.72,42.15,5.72,True,2,8,11.72,47.03,7.31
300364,中文在线,R86新闻和出版业,2025-08-18,3.09,5.95,27.25,26.66,True,3,7,18.72,-75.66,22.05
300380,安硕信息,I65软件和信息技术服务业,2025-08-13,3.9,2.94,49.08,9.77,True,2,10,16.26,479.8,17.77
300408,三环集团,C39计算机、通信和其他电子设备制造业,2025-08-14,4.14,3.3,42.0,51.87,True,2,9,1.26,35.15,3.94
300417,南华仪器,C40仪器仪表制造业,2025-07-31,3.07,3.74,14.16,1.81,True,5,19,-8.26,122.64,4.18
300429,强力新材,C26化学原料和化学制品制造业,2025-08-12,3.96,4.96,15.01,16.18,True,4,11,-4.0,-40.25,4.62
300441,鲍斯股份,C34通用设备制造业,2025-08-15,3.3,6.01,9.17,5.0,True,2,8,-4.47,7.23,2.32
300461,田中精机,C35专用设备制造业,2025-08-14,4.64,2.56,21.66,3.37,True,3,9,-0.65,-22.79,6.61
300465,高伟达,I65软件和信息技术服务业,2025-08-14,3.25,2.98,16.25,8.0,True,2,9,25.23,383.81,11.27
300525,博思软件,I65软件和信息技术服务业,2025-08-01,3.56,6.88,16.32,10.66,True,2,18,-2.51,41.92,4.77
300531,优博讯,C39计算机、通信和其他电子设备制造业,2025-08-14,3.08,2.95,19.91,7.64,True,2,9,13.16,-48.93,4.73
300532,今天国际,I65软件和信息技术服务业,2025-08-19,3.76,3.48,13.37,4.5,True,2,6,-0.15,27.33,3.23
300538,同益股份,F51批发业,2025-08-06,3.19,3.2,17.39,2.54,True,3,15,-2.3,-33.04,3.3
300540,蜀道装备,C34通用设备制造业,2025-08-13,3.5,3.3,17.86,2.16,True,3,10,5.88,60.51,3.74
300545,联得装备,C35专用设备制造业,2025-08-05,3.6,5.52,32.87,4.74,True,2,16,14.69,24.76,3.04
300556,丝路视觉,I65软件和信息技术服务业,2025-08-04,3.05,5.19,22.3,4.37,True,2,17,-2.51,-8.33,5.02
300598,诚迈科技,I65软件和信息技术服务业,2025-08-20,4.02,4.06,57.64,34.29,True,2,5,-2.6,-101.8,8.33
300605,恒锋信息,I65软件和信息技术服务业,2025-08-21,3.23,4.31,17.17,5.24,True,3,4,0.0,-34.7,6.06
300612,宣亚国际,L72商务服务业,2025-07-31,3.03,2.34,15.76,3.1,True,2,19,-1.02,-148.1,5.85
300613,富瀚微,I65软件和信息技术服务业,2025-08-07,4.23,6.47,52.47,10.34,True,3,14,5.66,51.6,4.51
300623,捷捷微电,C39计算机、通信和其他电子设备制造业,2025-08-07,3.49,3.96,32.05,16.45,True,3,14,5.15,54.11,4.5
300645,正元智慧,I65软件和信息技术服务业,2025-08-14,3.45,5.21,19.39,4.35,True,5,9,15.01,260.58,2.71
300651,金陵体育,C24文教、工美、体育和娱乐用品制造业,2025-08-14,3.04,4.56,22.48,5.06,True,2,9,-3.43,142.76,4.04
300686,智动力,C39计算机、通信和其他电子设备制造业,2025-08-21,5.72,2.54,13.71,12.2,True,3,4,-1.31,-24.99,3.61
300690,双一科技,C30非金属矿物制品业,2025-08-06,3.42,4.28,27.3,6.7,True,2,15,31.98,39.87,3.01
300697,电工合金,C32有色金属冶炼和压延加工业,2025-08-12,3.21,3.21,15.13,7.01,True,2,11,-0.33,47.86,5.51
300707,威唐工业,C35专用设备制造业,2025-08-13,4.83,5.86,15.72,2.91,True,3,10,-2.93,-256.7,2.51
300711,广哈通信,C39计算机、通信和其他电子设备制造业,2025-08-05,3.82,4.49,23.52,3.86,True,2,16,0.72,71.39,7.68
300733,西菱动力,C36汽车制造业,2025-08-01,3.16,3.72,21.48,11.67,True,2,18,0.14,106.76,3.98
300735,光弘科技,C39计算机、通信和其他电子设备制造业,2025-07-30,3.35,2.29,26.39,9.66,True,2,20,17.66,80.47,4.08
300755,华致酒行,F51批发业,2025-08-20,3.51,2.61,19.28,3.82,True,3,5,-4.05,-147.67,2.53
300758,七彩化学,C26化学原料和化学制品制造业,2025-08-06,3.52,5.07,15.53,6.03,True,3,15,0.58,47.01,3.61
300774,倍杰特,N77生态保护和环境治理业,2025-08-21,3.24,3.77,9.91,2.19,True,2,4,5.75,32.74,2.7
300786,国林科技,C35专用设备制造业,2025-08-05,3.23,3.98,15.93,3.79,True,2,16,-2.39,-56.61,2.58
300791,仙乐健康,C14食品制造业,2025-08-20,3.37,5.23,24.94,2.97,True,2,5,-0.08,23.18,3.21
300796,贝斯美,C26化学原料和化学制品制造业,2025-08-14,3.47,3.32,11.19,4.05,True,2,9,-0.54,-149.63,2.33
300801,泰和科技,C26化学原料和化学制品制造业,2025-08-05,3.92,5.78,23.99,5.47,True,4,16,-1.25,48.9,2.13
300802,矩子科技,C39计算机、通信和其他电子设备制造业,2025-08-11,4.38,6.16,20.69,2.85,True,3,12,1.4,89.73,3.67
300829,金丹科技,C14食品制造业,2025-08-08,3.42,3.38,18.37,3.06,True,2,13,1.74,70.75,2.36
300846,首都在线,I65软件和信息技术服务业,2025-08-13,3.22,5.19,21.9,24.73,True,4,10,13.93,-37.09,12.28
300860,锋尚文化,R88文化艺术业,2025-08-14,3.03,3.82,30.73,3.56,True,2,9,-2.7,126.66,1.85
300862,蓝盾光电,C40仪器仪表制造业,2025-08-08,3.48,6.61,26.92,6.32,True,2,13,-2.01,-1008.87,2.48
300879,大叶股份,C35专用设备制造业,2025-08-18,3.45,5.24,35.13,8.36,True,2,7,1.62,43.14,5.08
300892,品渥食品,F52零售业,2025-08-20,3.22,4.47,36.42,5.09,True,2,5,11.12,209.47,3.46
300941,创识科技,I65软件和信息技术服务业,2025-08-08,3.04,2.85,28.19,4.72,True,3,13,-1.74,131.99,4.48
300948,冠中生态,N77生态保护和环境治理业,2025-08-19,4.91,6.98,12.26,1.69,True,2,6,-4.49,-23.68,2.24
300949,奥雅股份,M74专业技术服务业,2025-08-21,3.41,4.82,44.55,1.88,True,3,4,-5.01,-11.53,3.99
300963,中洲特材,C32有色金属冶炼和压延加工业,2025-08-14,3.95,6.67,20.96,11.2,True,2,9,-1.86,103.25,9.05
300985,致远新能,C33金属制品业,2025-08-13,4.56,4.81,20.03,2.41,True,2,10,-7.14,-19.56,3.78
300986,志特新材,C33金属制品业,2025-07-30,4.05,4.82,14.13,5.83,True,3,20,-4.39,48.53,3.53
300996,普联软件,I65软件和信息技术服务业,2025-08-14,3.54,5.42,19.25,9.06,True,3,9,-2.81,52.33,4.29
300997,欢乐家,C15酒、饮料和精制茶制造业,2025-08-19,5.13,6.39,17.16,3.09,True,4,6,2.04,75.41,6.43
300999,金龙鱼,C13农副食品加工业,2025-08-13,4.98,2.64,31.53,11.73,True,2,10,2.44,54.08,1.8
301006,迈拓股份,C40仪器仪表制造业,2025-08-07,3.34,3.37,17.5,1.39,True,2,14,-6.11,30.6,1.94
301011,华立科技,C24文教、工美、体育和娱乐用品制造业,2025-08-15,3.13,5.21,29.46,3.55,True,2,8,8.11,56.78,5.67
301016,雷尔伟,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-08,3.6,3.56,18.34,2.53,True,2,13,4.03,60.2,3.81
301022,海泰科,C35专用设备制造业,2025-07-30,3.52,2.67,33.41,3.13,True,2,20,30.83,98.36,2.98
301024,霍普股份,M74专业技术服务业,2025-08-08,3.41,5.29,47.8,2.55,True,5,13,-7.15,-24.18,7.19
301035,润丰股份,C26化学原料和化学制品制造业,2025-08-22,3.94,5.03,72.41,4.26,True,2,3,1.09,24.68,2.87
301055,张小泉,C33金属制品业,2025-08-19,3.04,5.42,20.6,1.14,True,2,6,18.79,105.82,4.96
301056,森赫股份,C34通用设备制造业,2025-07-31,3.16,4.7,11.37,1.4,True,2,19,-3.52,35.77,3.42
301069,凯盛新材,C26化学原料和化学制品制造业,2025-08-05,3.24,4.96,17.97,4.26,True,2,16,22.7,124.0,5.01
301086,鸿富瀚,C39计算机、通信和其他电子设备制造业,2025-08-06,3.85,4.84,52.39,2.74,True,2,15,24.07,46.86,2.4
301087,可孚医疗,C35专用设备制造业,2025-08-14,3.03,6.99,40.58,3.29,True,2,9,1.13,28.1,1.73
301099,雅创电子,F51批发业,2025-08-04,3.18,4.35,37.68,3.56,True,2,17,6.33,48.3,3.89
301100,风光股份,C26化学原料和化学制品制造业,2025-08-05,4.97,5.36,19.26,1.13,True,2,16,-2.08,-63.67,1.89
301109,军信股份,N77生态保护和环境治理业,2025-08-21,3.17,2.73,14.7,2.76,True,3,4,3.61,19.82,1.49
301131,聚赛龙,C29橡胶和塑料制品业,2025-08-06,3.24,6.03,52.59,4.34,True,3,15,-4.54,63.11,2.95
301137,哈焊华通,C33金属制品业,2025-08-14,3.04,2.78,34.41,4.88,True,2,9,-4.68,155.19,4.59
301172,君逸数码,I65软件和信息技术服务业,2025-08-22,3.47,4.44,23.52,3.52,True,2,3,9.52,104.63,2.78
301181,标榜股份,C36汽车制造业,2025-08-11,4.16,5.3,29.23,3.2,True,2,12,5.78,28.1,2.32
301189,奥尼电子,C39计算机、通信和其他电子设备制造业,2025-08-11,4.45,6.55,30.43,1.8,True,2,12,11.8,-33.21,1.65
301190,善水科技,C26化学原料和化学制品制造业,2025-08-18,3.28,5.43,26.0,1.76,True,3,7,-1.54,109.1,2.91
301199,迈赫股份,C35专用设备制造业,2025-08-05,3.11,4.06,27.45,2.2,True,2,16,11.95,52.06,2.72
301206,三元生物,C14食品制造业,2025-08-21,3.04,2.93,30.59,2.19,True,2,4,-2.03,58.6,1.38
301226,祥明智能,C38电气机械和器材制造业,2025-08-11,4.17,5.36,30.26,3.7,True,2,12,15.17,109.5,3.62
301236,软通动力,I65软件和信息技术服务业,2025-08-18,3.64,5.41,57.82,43.4,True,2,7,5.47,211.78,5.32
301256,华融化学,C26化学原料和化学制品制造业,2025-08-06,4.74,6.85,11.08,2.63,True,2,15,-2.89,56.11,3.04
301268,铭利达,C33金属制品业,2025-08-05,4.06,4.67,21.5,2.75,True,3,16,4.51,-17.43,4.97
301293,三博脑科,Q84卫生,2025-08-08,3.57,5.5,57.59,28.85,True,2,13,2.47,107.94,5.08
301305,朗坤科技,N77生态保护和环境治理业,2025-08-18,5.32,6.28,20.47,3.45,True,5,7,-2.49,19.52,1.36
301322,绿通科技,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-05,3.4,5.11,32.9,5.44,True,2,16,1.22,35.48,1.66
301336,趣睡科技,C21家具制造业,2025-08-14,3.5,4.92,59.94,3.22,True,2,9,-0.42,77.77,2.91
301365,矩阵股份,M74专业技术服务业,2025-08-01,4.84,5.92,19.5,3.24,True,2,18,-3.85,103.05,1.98
301378,通达海,I65软件和信息技术服务业,2025-08-01,3.06,6.54,33.39,3.38,True,3,18,-4.07,-52.89,2.43
301386,未来电器,C38电气机械和器材制造业,2025-07-31,3.08,2.25,23.2,1.32,True,2,19,2.54,35.95,2.16
301399,英特科技,C34通用设备制造业,2025-08-06,3.05,6.77,21.75,3.89,True,2,15,-2.21,71.71,3.02
301469,恒达新材,C22造纸和纸制品业,2025-08-14,3.37,5.01,30.4,1.45,True,2,9,-5.0,41.84,1.98
301488,豪恩汽电,C39计算机、通信和其他电子设备制造业,2025-08-08,4.73,6.85,75.03,5.56,True,2,13,28.1,67.88,5.18
301503,智迪科技,C39计算机、通信和其他电子设备制造业,2025-08-06,3.08,2.56,42.87,1.66,True,5,15,-1.45,27.86,3.14
301518,长华化学,C26化学原料和化学制品制造业,2025-08-07,5.77,6.67,23.99,3.17,True,3,14,1.92,61.33,2.34
301535,浙江华远,C36汽车制造业,2025-08-06,3.46,2.38,20.64,2.56,True,3,15,4.55,71.63,7.56
