代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
603082,北自科技,C34通用设备制造业,2025-08-04,3.31,4.3,40.26,2.04,True,2,17,3.7,38.17,4.05
603088,宁波精达,C34通用设备制造业,2025-08-19,4.3,6.54,10.1,5.3,True,2,6,0.4,35.73,4.72
603098,森特股份,E50建筑装饰、装修和其他建筑业,2025-08-15,3.25,2.29,12.95,6.91,True,3,8,12.82,81.05,2.5
603100,川仪股份,C40仪器仪表制造业,2025-08-22,3.64,4.09,21.38,4.72,True,2,3,-2.25,14.82,2.43
603103,横店影视,R87广播、电视、电影和录音制作业,2025-08-18,3.14,5.12,17.26,3.04,True,2,7,-2.72,394.29,7.25
603118,共进股份,C39计算机、通信和其他电子设备制造业,2025-08-19,3.16,6.7,13.06,18.73,True,4,6,-0.31,-161.38,2.06
603138,海量数据,I65软件和信息技术服务业,2025-08-11,5.17,6.03,16.01,5.56,True,5,12,2.06,-63.17,5.82
603153,上海建科,M74专业技术服务业,2025-08-05,4.38,3.61,18.66,2.94,True,2,16,1.29,21.78,2.11
603155,新亚强,C26化学原料和化学制品制造业,2025-08-13,3.3,3.42,16.65,2.63,True,2,10,2.34,46.97,2.29
603161,科华控股,C36汽车制造业,2025-08-04,5.03,6.92,13.45,2.9,True,2,17,9.81,29.91,1.76
603178,圣龙股份,C36汽车制造业,2025-08-18,3.7,2.75,19.78,3.97,True,5,7,-0.4,-2299.12,3.69
603179,新泉股份,C36汽车制造业,2025-08-06,5.75,4.87,48.45,18.87,True,5,15,2.75,23.95,4.18
603186,华正新材,C39计算机、通信和其他电子设备制造业,2025-08-12,4.62,3.99,36.47,10.4,True,3,11,11.11,-66.37,3.64
603187,海容冷链,C34通用设备制造业,2025-08-06,4.82,4.87,12.91,2.83,True,2,15,16.73,14.54,1.18
603189,网达软件,I65软件和信息技术服务业,2025-08-06,4.25,3.87,20.67,10.67,True,3,15,5.66,553.39,3.62
603190,亚通精工,C36汽车制造业,2025-08-08,3.78,3.38,25.08,2.17,True,2,13,-4.78,42.29,1.41
603203,快克智能,C35专用设备制造业,2025-08-19,3.03,5.66,29.85,3.1,True,4,6,-0.8,34.61,5.11
